iteration,k=1,k=2,k=3,k=4,k=e
656,3116,3199,3082,3338,3875
657,3120,3202,3086,3341,3881
658,3124,3203,3088,3349,3888
659,3124,3204,3091,3350,3893
660,3124,3204,3091,3350,3898
661,3128,3206,3092,3352,3900
662,3130,3209,3093,3354,3906
663,3131,3216,3096,3354,3912
664,3135,3219,3099,3357,3916
665,3140,3226,3102,3360,3923
666,3143,3231,3105,3361,3926
667,3144,3231,3105,3364,3926
668,3144,3231,3106,3366,3926
669,3145,3235,3116,3366,3930
670,3145,3239,3119,3367,3938
671,3147,3244,3122,3370,3944
672,3147,3246,3122,3370,3948
673,3147,3253,3129,3370,3950
674,3155,3257,3138,3373,3959
675,3158,3260,3147,3373,3966
676,3163,3265,3150,3379,3971
677,3163,3266,3150,3383,3972
678,3163,3268,3152,3384,3975
679,3166,3271,3155,3390,3978
680,3168,3273,3158,3390,3984
681,3175,3279,3164,3395,3993
682,3179,3283,3168,3400,3999
683,3184,3286,3176,3408,4005
684,3184,3291,3182,3410,4006
685,3188,3293,3185,3414,4008
686,3193,3295,3188,3422,4014
687,3193,3295,3188,3422,4015
688,3193,3295,3190,3424,4017
689,3197,3295,3191,3425,4021
690,3199,3297,3196,3427,4028
691,3202,3300,3202,3434,4033
692,3206,3304,3206,3438,4042
693,3215,3313,3216,3447,4051
694,3218,3316,3221,3451,4054
695,3224,3321,3224,3457,4056
696,3229,3321,3226,3460,4056
697,3229,3321,3226,3460,4058
698,3232,3321,3227,3463,4062
699,3239,3326,3235,3463,4069
700,3239,3326,3235,3463,4075
701,3245,3328,3237,3465,4078
702,3246,3329,3241,3469,4082
703,3248,3333,3244,3472,4087
704,3257,3342,3245,3480,4092
705,3265,3349,3251,3484,4097
706,3267,3349,3253,3487,4103
707,3267,3349,3253,3487,4107
708,3269,3350,3253,3488,4107
709,3274,3355,3259,3494,4109
710,3278,3358,3261,3494,4115
711,3278,3358,3261,3495,4131
712,3285,3364,3267,3498,4134
713,3287,3365,3268,3500,4143
714,3292,3370,3273,3502,4147
715,3293,3370,3275,3504,4151
716,3293,3370,3279,3516,4160
717,3294,3372,3284,3517,4161
718,3297,3374,3284,3517,4161
719,3299,3377,3285,3517,4167
720,3300,3377,3288,3518,4167
721,3302,3377,3288,3526,4168
722,3308,3379,3289,3532,4172
723,3308,3381,3296,3537,4183
724,3316,3387,3296,3545,4191
725,3319,3389,3300,3548,4208
726,3322,3390,3306,3553,4209
727,3322,3393,3314,3557,4214
728,3322,3393,3317,3561,4217
729,3330,3397,3320,3564,4222
730,3333,3399,3320,3564,4231
731,3336,3406,3327,3568,4233
732,3342,3411,3328,3569,4244
733,3345,3413,3335,3575,4246
734,3348,3418,3338,3576,4251
735,3353,3418,3340,3576,4251
736,3356,3425,3341,3576,4254
737,3356,3425,3341,3577,4255
738,3356,3426,3345,3580,4257
739,3362,3428,3349,3581,4257
740,3366,3436,3349,3588,4264
741,3366,3436,3351,3588,4275
742,3369,3441,3353,3590,4282
743,3369,3442,3355,3597,4287
744,3371,3444,3355,3597,4288
745,3373,3444,3358,3601,4293
746,3375,3450,3358,3602,4301
747,3376,3451,3363,3602,4310
748,3380,3456,3367,3604,4317
749,3384,3460,3367,3613,4321
750,3386,3463,3368,3613,4326
751,3392,3469,3374,3619,4332
752,3392,3469,3374,3619,4335
753,3396,3472,3380,3625,4336
754,3399,3477,3383,3627,4336
755,3411,3487,3393,3640,4341
756,3411,3487,3393,3640,4345
757,3414,3491,3397,3645,4348
758,3416,3491,3397,3645,4348
759,3424,3494,3405,3653,4350
760,3432,3494,3410,3654,4354
761,3432,3498,3410,3657,4354
762,3435,3500,3416,3663,4362
763,3437,3503,3418,3663,4366
764,3438,3505,3419,3665,4366
765,3438,3505,3419,3665,4366
766,3445,3506,3424,3672,4367
767,3450,3509,3430,3679,4374
768,3453,3509,3430,3680,4375
769,3461,3517,3435,3688,4380
770,3461,3521,3441,3692,4386
771,3466,3524,3445,3697,4390
772,3466,3524,3445,3697,4390
773,3468,3526,3449,3702,4396
774,3477,3530,3450,3704,4399
775,3477,3533,3450,3705,4401
776,3480,3536,3456,3708,4404
777,3480,3536,3456,3709,4409
778,3493,3540,3465,3718,4418
779,3498,3544,3469,3719,4422
780,3502,3545,3472,3724,4427
781,3506,3549,3476,3727,4432
782,3509,3552,3477,3728,4435
783,3513,3556,3477,3730,4439
784,3518,3561,3479,3733,4440
785,3519,3563,3480,3741,4441
786,3519,3563,3481,3743,4441
787,3521,3569,3482,3744,4442
788,3524,3571,3487,3748,4445
789,3527,3572,3489,3748,4445
790,3529,3572,3490,3749,4447
791,3536,3574,3492,3752,4450
792,3540,3579,3497,3757,4451
793,3543,3583,3501,3760,4453
794,3543,3584,3502,3761,4454
795,3544,3588,3503,3763,4456
796,3547,3590,3503,3766,4458
797,3551,3598,3503,3770,4459
798,3553,3603,3507,3773,4463
799,3559,3609,3511,3779,4465
800,3565,3610,3515,3782,4465
801,3566,3613,3515,3782,4465
802,3567,3616,3521,3789,4467
803,3568,3616,3523,3789,4467
804,3574,3620,3533,3799,4473
805,3574,3620,3539,3806,4481
